Tipo_Prenda,Género,Color,Estilo,Marca,Precio,Talla,Cantidad_Lavados,Edad,Profesión,Género_Incluyente,Calidad
Vestido,Dama,Negro,Formal,Marca D,1520.77,45,10,21,Ciencias de la Salud,Hombre,Buena
Chaqueta,Caballero,Verde,Casual,Marca A,593.04,33,13,28,Educación,Mujer,Buena
Pantalón,Caballero,Rojo,Formal,Marca D,1750.67,38,15,29,Artes,Hombre,Buena
Falda,Dama,Rojo,Formal,Marca C,755.43,44,15,30,Educación,Mujer,Buena
Pantalón,Dama,Verde,Deportivo,Marca A,833.39,36,12,25,Deportes,Hombre,Buena
Falda,Dama,Negro,Deportivo,Marca B,1683.88,40,19,24,Ciencias de la Salud,Mujer,Regular
Vestido,Dama,Blanco,Deportivo,Marca C,720.75,35,13,22,Ingeniería,Mujer,Buena
Vestido,Dama,Verde,Deportivo,Marca D,843.18,42,6,25,Educación,HombreMujer,Buena
Pantalón,Caballero,Verde,Deportivo,Marca C,1950.18,39,5,27,Ciencias de la Salud,HombreMujer,Buena
Pantalón,Dama,Blanco,Deportivo,Marca C,985.95,38,15,22,Deportes,Hombre,Buena
Chaqueta,Caballero,Azul,Casual,Marca A,397.6,33,2,23,Educación,Hombre,Buena
Vestido,Caballero,Negro,Deportivo,Marca A,1638.26,34,6,23,Ingeniería,Mujer,Buena
Vestido,Dama,Azul,Formal,Marca A,1731.75,32,14,29,Artes,Hombre,Mala
Pantalón,Dama,Verde,Casual,Marca D,1494.04,39,16,21,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Dama,Negro,Casual,Marca D,1397.05,39,6,30,Ciencias Sociales y Humanidades,HombreMujer,Buena
Camisa,Caballero,Verde,Casual,Marca C,516.71,42,16,20,Ciencias Sociales y Humanidades,Hombre,Buena
Camisa,Caballero,Verde,Deportivo,Marca C,1914.41,34,18,21,Ciencias Sociales y Humanidades,Mujer,Mala
Camisa,Dama,Negro,Formal,Marca B,379.24,35,4,25,Artes,Hombre,Mala
Falda,Caballero,Rojo,Deportivo,Marca A,919.48,38,18,20,Artes,HombreMujer,Regular
Camisa,Caballero,Blanco,Deportivo,Marca A,1496.85,41,1,21,Ciencias de la Salud,Hombre,Regular
Vestido,Dama,Blanco,Casual,Marca A,1485.17,39,13,23,Educación,HombreMujer,Regular
Chaqueta,Caballero,Verde,Deportivo,Marca B,1418.57,40,15,24,Ciencias de la Salud,Hombre,Buena
Pantalón,Dama,Verde,Casual,Marca B,623.73,45,7,29,Educación,Mujer,Regular
Pantalón,Caballero,Negro,Deportivo,Marca C,1062.91,38,6,22,Educación,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca D,1823.42,43,11,28,Ingeniería,Mujer,Regular
Pantalón,Caballero,Verde,Casual,Marca B,749.79,43,16,25,Ciencias Sociales y Humanidades,Hombre,Buena
Pantalón,Caballero,Rojo,Formal,Marca B,1542.81,37,6,20,Ingeniería,Mujer,Mala
Camisa,Dama,Verde,Casual,Marca B,917.84,41,8,24,Ingeniería,Hombre,Buena
Falda,Caballero,Azul,Deportivo,Marca D,1598.81,38,7,24,Artes,Mujer,Regular
Vestido,Caballero,Verde,Formal,Marca A,582.08,32,16,27,Ciencias Sociales y Humanidades,Hombre,Regular
Camisa,Caballero,Azul,Casual,Marca C,1412.88,36,6,30,Ciencias Sociales y Humanidades,Hombre,Buena
Chaqueta,Caballero,Verde,Formal,Marca B,851.98,37,7,30,Educación,Hombre,Buena
Camisa,Dama,Verde,Deportivo,Marca D,513.46,45,7,20,Deportes,Mujer,Mala
Chaqueta,Caballero,Rojo,Casual,Marca C,877.67,33,14,23,Ciencias Sociales y Humanidades,Hombre,Mala
Falda,Caballero,Azul,Casual,Marca B,1636.48,33,4,27,Ciencias Sociales y Humanidades,HombreMujer,Buena
Vestido,Dama,Blanco,Formal,Marca A,524.43,33,15,30,Ingeniería,Hombre,Buena
Vestido,Dama,Rojo,Deportivo,Marca B,1448.52,34,11,27,Ciencias de la Salud,Mujer,Mala
Chaqueta,Caballero,Rojo,Deportivo,Marca D,1571.15,36,10,27,Ciencias Sociales y Humanidades,HombreMujer,Mala
Pantalón,Dama,Azul,Formal,Marca C,539.65,34,14,29,Ingeniería,Mujer,Buena
Pantalón,Caballero,Blanco,Casual,Marca B,933.77,39,3,29,Ingeniería,Hombre,Regular
Vestido,Dama,Blanco,Formal,Marca A,1826.39,45,0,26,Educación,Hombre,Buena
Pantalón,Caballero,Rojo,Formal,Marca C,1647.67,36,14,29,Ciencias Sociales y Humanidades,Hombre,Mala
Falda,Dama,Negro,Formal,Marca D,1397.95,36,9,26,Ingeniería,Hombre,Regular
Vestido,Caballero,Rojo,Deportivo,Marca D,1472.74,35,5,28,Ciencias de la Salud,Hombre,Regular
Vestido,Dama,Rojo,Deportivo,Marca D,1447.63,38,10,23,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Dama,Negro,Casual,Marca A,477.61,42,19,28,Deportes,Mujer,Mala
Camisa,Dama,Blanco,Deportivo,Marca D,348.84,39,2,20,Ciencias Sociales y Humanidades,HombreMujer,Mala
Pantalón,Caballero,Azul,Formal,Marca B,1739.43,44,7,25,Ingeniería,Mujer,Mala
Chaqueta,Caballero,Azul,Casual,Marca A,486.5,37,9,30,Deportes,Hombre,Buena
Vestido,Dama,Negro,Deportivo,Marca B,661.9,35,11,27,Ciencias de la Salud,HombreMujer,Regular
Falda,Caballero,Verde,Formal,Marca C,995.13,45,9,22,Ingeniería,Mujer,Buena
Camisa,Dama,Azul,Deportivo,Marca B,705.09,41,5,21,Ciencias de la Salud,Hombre,Buena
Chaqueta,Caballero,Azul,Formal,Marca C,1821.86,37,11,26,Ciencias Sociales y Humanidades,HombreMujer,Buena
Falda,Dama,Blanco,Casual,Marca C,1437.84,38,10,21,Educación,Mujer,Buena
Vestido,Dama,Rojo,Formal,Marca A,1110.56,38,9,27,Ciencias de la Salud,Hombre,Buena
Camisa,Caballero,Verde,Casual,Marca C,688.97,44,2,29,Ingeniería,Hombre,Buena
Pantalón,Dama,Azul,Deportivo,Marca C,842.86,42,19,21,Ciencias de la Salud,HombreMujer,Buena
Camisa,Dama,Blanco,Deportivo,Marca C,1439.95,32,11,21,Ciencias Sociales y Humanidades,Mujer,Buena
Falda,Dama,Verde,Deportivo,Marca D,1342.69,40,3,25,Ciencias de la Salud,HombreMujer,Mala
Falda,Caballero,Blanco,Deportivo,Marca A,1526.29,42,18,29,Educación,Mujer,Buena
Vestido,Caballero,Rojo,Formal,Marca D,844.41,39,19,29,Ingeniería,HombreMujer,Regular
Vestido,Caballero,Rojo,Casual,Marca B,712.26,45,5,29,Ciencias Sociales y Humanidades,Mujer,Buena
Chaqueta,Caballero,Rojo,Deportivo,Marca B,1102.19,45,13,25,Deportes,Mujer,Regular
Vestido,Caballero,Azul,Casual,Marca D,318.71,35,15,20,Deportes,Hombre,Regular
Falda,Caballero,Negro,Deportivo,Marca C,1357.94,33,14,26,Deportes,Hombre,Buena
Chaqueta,Dama,Azul,Formal,Marca B,713.55,43,1,26,Artes,Hombre,Mala
Vestido,Dama,Azul,Formal,Marca C,1412.69,39,5,27,Educación,Hombre,Regular
Vestido,Dama,Verde,Formal,Marca D,1421.52,35,10,28,Ingeniería,Mujer,Mala
Chaqueta,Caballero,Azul,Casual,Marca C,1148.26,44,5,27,Deportes,Hombre,Mala
Camisa,Dama,Azul,Formal,Marca C,1667.54,41,15,29,Ciencias de la Salud,Hombre,Buena
Camisa,Dama,Rojo,Deportivo,Marca C,1139.98,37,3,21,Artes,HombreMujer,Buena
Vestido,Caballero,Azul,Deportivo,Marca D,1075.99,33,15,28,Educación,HombreMujer,Buena
Vestido,Caballero,Azul,Formal,Marca B,1670.53,42,1,27,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Dama,Azul,Deportivo,Marca B,503.84,36,8,23,Educación,Hombre,Regular
Pantalón,Dama,Blanco,Casual,Marca D,1699.05,38,16,20,Ciencias Sociales y Humanidades,HombreMujer,Regular
Camisa,Caballero,Verde,Casual,Marca A,1381.86,37,14,27,Ciencias Sociales y Humanidades,Mujer,Buena
Pantalón,Caballero,Azul,Casual,Marca A,1300.88,34,18,28,Artes,HombreMujer,Buena
Vestido,Caballero,Negro,Formal,Marca A,1023.02,39,17,22,Ciencias de la Salud,Mujer,Regular
Camisa,Dama,Verde,Formal,Marca C,377,32,12,23,Ciencias de la Salud,Mujer,Buena
Pantalón,Caballero,Rojo,Casual,Marca B,704.82,34,7,22,Ciencias de la Salud,Hombre,Buena
Falda,Caballero,Negro,Casual,Marca A,885.49,32,18,28,Deportes,Mujer,Mala
Chaqueta,Dama,Verde,Casual,Marca D,1813.29,44,8,24,Ingeniería,HombreMujer,Buena
Pantalón,Caballero,Rojo,Formal,Marca D,1766.22,36,14,26,Deportes,HombreMujer,Regular
Chaqueta,Dama,Blanco,Deportivo,Marca D,697.44,43,16,23,Artes,Hombre,Buena
Camisa,Caballero,Blanco,Casual,Marca C,723.64,38,1,28,Ciencias de la Salud,Hombre,Buena
Chaqueta,Dama,Blanco,Formal,Marca C,1543.46,34,5,22,Ciencias Sociales y Humanidades,Mujer,Regular
Falda,Caballero,Azul,Casual,Marca C,858.8,37,3,20,Ciencias de la Salud,Mujer,Buena
Falda,Dama,Blanco,Deportivo,Marca A,1353.21,45,12,28,Ingeniería,Mujer,Mala
Falda,Caballero,Verde,Casual,Marca A,737.61,32,2,22,Educación,Hombre,Buena
Vestido,Caballero,Rojo,Formal,Marca A,941.53,36,9,20,Deportes,Mujer,Mala
Camisa,Dama,Blanco,Casual,Marca A,1986.86,45,3,26,Deportes,HombreMujer,Buena
Pantalón,Caballero,Rojo,Casual,Marca C,310.29,37,12,21,Ciencias Sociales y Humanidades,HombreMujer,Regular
Chaqueta,Dama,Rojo,Deportivo,Marca C,1226.31,43,5,27,Deportes,Mujer,Buena
Chaqueta,Dama,Rojo,Casual,Marca D,1730.06,36,8,20,Deportes,Hombre,Buena
Vestido,Caballero,Rojo,Deportivo,Marca D,1810.59,32,6,29,Deportes,Hombre,Buena
Chaqueta,Dama,Blanco,Casual,Marca D,578.31,41,2,29,Artes,Hombre,Buena
Chaqueta,Caballero,Rojo,Formal,Marca A,902.71,39,18,27,Ciencias Sociales y Humanidades,Mujer,Buena
Chaqueta,Dama,Negro,Deportivo,Marca D,1275.22,38,9,28,Educación,Hombre,Buena
Vestido,Dama,Azul,Casual,Marca C,398.8,32,5,21,Ingeniería,Mujer,Mala
Falda,Caballero,Negro,Formal,Marca B,744.82,34,12,22,Deportes,Hombre,Regular
Pantalón,Dama,Azul,Deportivo,Marca B,718.1,45,6,25,Deportes,HombreMujer,Buena
Falda,Caballero,Rojo,Formal,Marca C,641.28,32,9,25,Deportes,Mujer,Buena
Falda,Caballero,Rojo,Casual,Marca D,1113.94,36,15,25,Deportes,Hombre,Regular
Camisa,Dama,Azul,Casual,Marca A,891.26,34,10,22,Ciencias Sociales y Humanidades,HombreMujer,Mala
Camisa,Caballero,Negro,Formal,Marca A,1441.63,32,3,27,Educación,Mujer,Regular
Camisa,Dama,Verde,Deportivo,Marca D,956.58,33,3,23,Ciencias Sociales y Humanidades,Hombre,Regular
Camisa,Dama,Verde,Deportivo,Marca A,1702.85,44,11,20,Artes,Mujer,Mala
Chaqueta,Dama,Negro,Deportivo,Marca C,800.17,33,16,29,Artes,HombreMujer,Buena
Chaqueta,Caballero,Rojo,Formal,Marca A,1726.56,37,4,25,Ciencias de la Salud,Hombre,Mala
Pantalón,Dama,Azul,Deportivo,Marca C,622.9,33,4,21,Ingeniería,Mujer,Mala
Chaqueta,Caballero,Negro,Deportivo,Marca C,1315.21,41,8,27,Ingeniería,Hombre,Buena
Pantalón,Caballero,Azul,Casual,Marca D,1791.33,43,15,27,Ciencias de la Salud,Hombre,Buena
Falda,Caballero,Blanco,Deportivo,Marca A,1640.75,38,7,21,Educación,Hombre,Regular
Camisa,Caballero,Azul,Deportivo,Marca B,425.1,34,1,20,Ciencias de la Salud,Mujer,Mala
Chaqueta,Dama,Verde,Casual,Marca A,1750.08,37,17,29,Artes,HombreMujer,Mala
Falda,Dama,Blanco,Casual,Marca A,1944.82,41,8,22,Ingeniería,Hombre,Mala
Chaqueta,Caballero,Rojo,Casual,Marca D,281.16,35,7,25,Deportes,HombreMujer,Mala
Vestido,Caballero,Azul,Formal,Marca C,1425.09,39,2,30,Deportes,HombreMujer,Mala
Camisa,Caballero,Rojo,Formal,Marca D,1240.57,43,12,30,Ingeniería,Mujer,Mala
Pantalón,Caballero,Rojo,Deportivo,Marca C,214.93,45,16,20,Artes,Mujer,Buena
Falda,Dama,Verde,Casual,Marca D,1507.18,44,10,21,Ciencias Sociales y Humanidades,Mujer,Buena
Vestido,Dama,Rojo,Casual,Marca B,1245.06,34,15,27,Ciencias Sociales y Humanidades,Hombre,Buena
Falda,Caballero,Azul,Formal,Marca A,1858.98,41,8,30,Ingeniería,Mujer,Buena
Vestido,Caballero,Verde,Casual,Marca B,1292.5,44,1,22,Ciencias de la Salud,Hombre,Buena
Pantalón,Dama,Negro,Formal,Marca B,639.7,33,17,25,Artes,Hombre,Buena
Camisa,Dama,Rojo,Casual,Marca D,556.05,36,19,21,Educación,Hombre,Mala
Pantalón,Caballero,Blanco,Deportivo,Marca B,719.53,43,3,28,Ciencias de la Salud,Hombre,Regular
Pantalón,Dama,Blanco,Formal,Marca D,477.62,45,9,22,Ingeniería,Hombre,Buena
Pantalón,Caballero,Negro,Casual,Marca A,976.92,36,14,30,Ciencias Sociales y Humanidades,Hombre,Buena
Chaqueta,Caballero,Azul,Deportivo,Marca A,1606.11,43,18,26,Artes,Hombre,Buena
Camisa,Dama,Rojo,Casual,Marca A,1265.24,44,1,26,Deportes,HombreMujer,Buena
Vestido,Dama,Blanco,Deportivo,Marca A,1574.75,39,3,23,Ingeniería,Mujer,Mala
Pantalón,Caballero,Rojo,Deportivo,Marca B,846.1,35,18,25,Deportes,Mujer,Mala
Falda,Caballero,Verde,Formal,Marca C,1745.98,41,6,29,Artes,Hombre,Buena
Chaqueta,Caballero,Blanco,Casual,Marca A,569.61,38,8,22,Artes,Hombre,Regular
Falda,Caballero,Rojo,Casual,Marca D,1031.42,45,19,21,Ciencias de la Salud,HombreMujer,Buena
Pantalón,Caballero,Rojo,Casual,Marca B,624.57,38,19,20,Deportes,Hombre,Buena
Chaqueta,Caballero,Verde,Formal,Marca D,709.76,37,17,30,Deportes,Mujer,Buena
Falda,Dama,Verde,Deportivo,Marca B,1763.63,34,14,30,Artes,HombreMujer,Regular
Camisa,Caballero,Azul,Casual,Marca C,914.2,43,7,24,Deportes,Mujer,Buena
Chaqueta,Caballero,Blanco,Casual,Marca C,1021.26,36,12,30,Ciencias de la Salud,Hombre,Regular
Pantalón,Dama,Blanco,Formal,Marca C,861.03,33,7,30,Ingeniería,Mujer,Regular
Pantalón,Dama,Verde,Casual,Marca C,504.65,43,17,21,Ciencias de la Salud,Hombre,Buena
Camisa,Caballero,Rojo,Casual,Marca C,1230.13,43,12,23,Ingeniería,HombreMujer,Buena
Chaqueta,Dama,Verde,Formal,Marca B,736.3,32,12,21,Ciencias de la Salud,Mujer,Buena
Vestido,Caballero,Verde,Formal,Marca A,383.78,34,11,29,Artes,Hombre,Buena
Falda,Dama,Blanco,Deportivo,Marca B,690.31,35,11,28,Educación,Mujer,Mala
Pantalón,Dama,Rojo,Formal,Marca B,723.75,43,11,22,Artes,Mujer,Mala
Camisa,Caballero,Verde,Deportivo,Marca C,947.1,45,9,24,Artes,HombreMujer,Regular
Chaqueta,Caballero,Rojo,Casual,Marca A,1991.34,33,16,24,Artes,Hombre,Regular
Pantalón,Caballero,Negro,Casual,Marca B,1349.97,45,16,25,Ciencias Sociales y Humanidades,Mujer,Mala
Falda,Caballero,Negro,Formal,Marca C,285.14,35,15,27,Ingeniería,Hombre,Mala
Camisa,Dama,Negro,Formal,Marca B,1165.03,41,19,26,Artes,HombreMujer,Regular
Chaqueta,Caballero,Negro,Formal,Marca D,500.16,41,16,24,Deportes,Hombre,Regular
Vestido,Dama,Rojo,Casual,Marca C,304.27,40,14,25,Educación,Hombre,Regular
Camisa,Caballero,Rojo,Casual,Marca D,805.15,32,9,22,Artes,Mujer,Mala
Pantalón,Caballero,Verde,Formal,Marca A,262.65,39,10,23,Artes,Mujer,Regular
Pantalón,Caballero,Blanco,Formal,Marca B,1483.34,41,9,27,Artes,Hombre,Buena
Chaqueta,Caballero,Azul,Casual,Marca C,612.17,34,4,27,Educación,Hombre,Regular
Camisa,Dama,Negro,Deportivo,Marca D,1957.44,39,19,29,Ciencias Sociales y Humanidades,Hombre,Buena
Pantalón,Dama,Azul,Casual,Marca C,535.34,41,10,21,Ingeniería,Mujer,Mala
Vestido,Caballero,Azul,Casual,Marca C,235.98,32,4,26,Ingeniería,Hombre,Buena
Vestido,Dama,Verde,Deportivo,Marca D,843.19,41,18,30,Educación,Hombre,Buena
Falda,Dama,Verde,Deportivo,Marca D,1195.64,34,12,24,Deportes,HombreMujer,Buena
Vestido,Dama,Blanco,Casual,Marca C,728.7,38,9,22,Educación,Mujer,Regular
Vestido,Caballero,Azul,Casual,Marca B,1015.26,42,14,21,Educación,Hombre,Buena
Chaqueta,Dama,Azul,Deportivo,Marca D,935.9,40,3,24,Ingeniería,Mujer,Buena
Pantalón,Dama,Rojo,Deportivo,Marca C,204.06,37,1,27,Educación,Mujer,Mala
Pantalón,Dama,Verde,Deportivo,Marca C,1313.86,36,5,26,Deportes,Mujer,Mala
Chaqueta,Caballero,Negro,Deportivo,Marca C,573.44,32,13,24,Ingeniería,Hombre,Regular
Vestido,Caballero,Blanco,Formal,Marca D,1364.85,33,0,21,Ciencias de la Salud,Hombre,Buena
Falda,Caballero,Azul,Casual,Marca C,484.09,37,15,20,Ciencias Sociales y Humanidades,Hombre,Buena
Pantalón,Dama,Negro,Deportivo,Marca C,785.51,41,14,28,Artes,Hombre,Buena
Camisa,Caballero,Blanco,Formal,Marca D,1391.77,41,10,26,Deportes,Hombre,Mala
Chaqueta,Dama,Rojo,Formal,Marca B,1019.18,34,4,30,Ciencias de la Salud,Mujer,Buena
Chaqueta,Dama,Verde,Deportivo,Marca A,1260.49,33,16,29,Ciencias de la Salud,Mujer,Regular
Vestido,Caballero,Negro,Formal,Marca C,1722.38,40,4,20,Educación,Mujer,Regular
Falda,Dama,Verde,Casual,Marca A,1576.35,44,1,30,Educación,Hombre,Buena
Camisa,Dama,Rojo,Deportivo,Marca C,1010.06,33,2,28,Ciencias Sociales y Humanidades,Hombre,Mala
Chaqueta,Caballero,Blanco,Deportivo,Marca C,338.73,37,14,23,Deportes,Mujer,Buena
Falda,Dama,Blanco,Formal,Marca A,1498.66,33,14,30,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Caballero,Negro,Casual,Marca A,1373.32,37,0,21,Educación,Hombre,Mala
Pantalón,Caballero,Negro,Formal,Marca D,1882.95,41,3,30,Ingeniería,Hombre,Mala
Chaqueta,Caballero,Negro,Deportivo,Marca B,1923.06,34,14,23,Educación,Mujer,Buena
Pantalón,Dama,Negro,Formal,Marca A,1374.77,42,7,24,Ciencias Sociales y Humanidades,Mujer,Buena
Vestido,Caballero,Rojo,Formal,Marca C,1726.13,33,17,23,Ciencias de la Salud,HombreMujer,Buena
Chaqueta,Caballero,Verde,Formal,Marca C,1922.1,36,18,25,Artes,Hombre,Buena
Vestido,Caballero,Azul,Casual,Marca C,1416.84,39,4,28,Ciencias de la Salud,HombreMujer,Buena
Pantalón,Dama,Verde,Deportivo,Marca B,478.06,36,11,22,Artes,Hombre,Buena
Pantalón,Caballero,Negro,Casual,Marca A,1479.81,41,18,20,Ciencias de la Salud,Mujer,Regular
Falda,Dama,Azul,Deportivo,Marca A,1395.74,44,10,20,Ciencias Sociales y Humanidades,Mujer,Regular
Chaqueta,Dama,Blanco,Deportivo,Marca A,1082.46,36,7,28,Ingeniería,Hombre,Mala
Vestido,Caballero,Blanco,Casual,Marca D,1699.05,43,17,28,Educación,Mujer,Buena
Camisa,Caballero,Rojo,Casual,Marca C,847.22,36,3,21,Deportes,HombreMujer,Regular
Falda,Dama,Azul,Formal,Marca A,277.71,38,8,20,Ciencias Sociales y Humanidades,Hombre,Regular
Chaqueta,Dama,Rojo,Casual,Marca B,447.03,38,3,21,Deportes,Hombre,Buena
Camisa,Caballero,Rojo,Casual,Marca B,1468.57,33,11,23,Ciencias de la Salud,Mujer,Mala
Vestido,Caballero,Negro,Formal,Marca A,1817.96,41,8,29,Ciencias de la Salud,Mujer,Buena
Pantalón,Caballero,Azul,Formal,Marca D,1894.43,43,5,27,Educación,Mujer,Regular
Falda,Caballero,Verde,Deportivo,Marca D,957.22,34,2,26,Deportes,Hombre,Regular
Camisa,Dama,Blanco,Deportivo,Marca C,884.24,42,8,25,Educación,Mujer,Mala
Falda,Dama,Rojo,Formal,Marca A,1628.58,37,18,26,Ciencias de la Salud,Hombre,Regular
Falda,Caballero,Rojo,Casual,Marca C,1608.03,33,19,21,Ciencias Sociales y Humanidades,HombreMujer,Mala
Pantalón,Dama,Blanco,Formal,Marca B,1989.97,35,1,26,Ciencias de la Salud,HombreMujer,Regular
Falda,Caballero,Verde,Casual,Marca D,1648.57,40,10,23,Educación,Hombre,Buena
Chaqueta,Caballero,Rojo,Deportivo,Marca D,313.32,44,2,30,Ingeniería,Hombre,Buena
Camisa,Dama,Negro,Formal,Marca A,595.61,45,5,20,Artes,Hombre,Buena
Chaqueta,Dama,Verde,Deportivo,Marca D,1632.52,41,11,28,Deportes,Mujer,Buena
Vestido,Dama,Blanco,Formal,Marca B,714.58,39,14,22,Artes,Hombre,Regular
Pantalón,Caballero,Negro,Deportivo,Marca D,548.92,42,9,29,Ingeniería,Hombre,Regular
Chaqueta,Caballero,Azul,Deportivo,Marca B,523.45,40,3,21,Ciencias Sociales y Humanidades,Mujer,Buena
Chaqueta,Caballero,Verde,Formal,Marca A,1435.57,35,15,23,Ingeniería,Mujer,Regular
Camisa,Dama,Negro,Formal,Marca B,1705.83,37,10,29,Artes,Hombre,Buena
Vestido,Dama,Negro,Formal,Marca A,921.88,38,18,20,Educación,Hombre,Buena
Camisa,Caballero,Rojo,Formal,Marca A,1248.34,36,13,22,Ciencias Sociales y Humanidades,HombreMujer,Regular
Pantalón,Dama,Verde,Casual,Marca D,971.54,45,18,21,Deportes,Hombre,Buena
Chaqueta,Dama,Negro,Formal,Marca D,1302.9,42,4,30,Ciencias Sociales y Humanidades,Mujer,Mala
Vestido,Dama,Negro,Deportivo,Marca A,1759.95,39,12,30,Ingeniería,Mujer,Regular
Pantalón,Caballero,Negro,Formal,Marca A,271.16,40,14,28,Ingeniería,HombreMujer,Mala
Vestido,Dama,Verde,Casual,Marca B,455.25,42,0,28,Educación,Mujer,Buena
Camisa,Dama,Rojo,Formal,Marca A,1184.41,40,10,26,Educación,HombreMujer,Buena
Chaqueta,Caballero,Azul,Deportivo,Marca D,1517.92,42,13,22,Ciencias de la Salud,HombreMujer,Buena
Falda,Caballero,Verde,Deportivo,Marca D,968.59,45,13,25,Deportes,HombreMujer,Regular
Vestido,Caballero,Negro,Formal,Marca D,1148.22,39,12,27,Deportes,Hombre,Buena
Falda,Dama,Blanco,Formal,Marca D,1616.56,34,4,21,Ingeniería,HombreMujer,Regular
Pantalón,Dama,Negro,Deportivo,Marca D,356.27,36,17,21,Educación,Hombre,Regular
Pantalón,Caballero,Azul,Casual,Marca D,692.66,45,12,22,Ciencias Sociales y Humanidades,HombreMujer,Buena
Falda,Dama,Rojo,Deportivo,Marca C,1423.72,41,3,23,Artes,Hombre,Buena
Pantalón,Caballero,Rojo,Casual,Marca D,1687.56,37,4,25,Ingeniería,Hombre,Buena
Pantalón,Dama,Blanco,Casual,Marca A,1063.91,34,5,26,Artes,Hombre,Buena
Falda,Caballero,Azul,Casual,Marca C,259.02,36,19,24,Ciencias Sociales y Humanidades,Mujer,Mala
Falda,Caballero,Blanco,Deportivo,Marca C,1604.65,37,16,27,Deportes,Hombre,Regular
Chaqueta,Dama,Negro,Casual,Marca D,1988.8,34,5,25,Ciencias de la Salud,Hombre,Regular
Pantalón,Dama,Azul,Casual,Marca A,1905.08,34,6,29,Ciencias de la Salud,HombreMujer,Mala
Camisa,Caballero,Verde,Deportivo,Marca C,1897.81,45,18,30,Ingeniería,Hombre,Buena
Falda,Caballero,Rojo,Deportivo,Marca D,1442.58,39,7,20,Ciencias de la Salud,Mujer,Buena
Chaqueta,Dama,Verde,Casual,Marca C,1571.73,41,8,30,Ingeniería,Mujer,Mala
Vestido,Caballero,Rojo,Formal,Marca D,1552.36,35,3,25,Deportes,Mujer,Buena
Pantalón,Caballero,Azul,Formal,Marca B,1836.72,37,8,26,Deportes,Hombre,Buena
Chaqueta,Dama,Verde,Formal,Marca A,847.99,41,4,20,Ciencias Sociales y Humanidades,Hombre,Regular
Camisa,Dama,Verde,Deportivo,Marca C,1910.68,37,0,24,Ciencias de la Salud,HombreMujer,Buena
Vestido,Dama,Verde,Formal,Marca A,574.37,43,13,20,Educación,Hombre,Buena
Falda,Dama,Blanco,Formal,Marca D,1058.69,36,3,28,Ingeniería,Mujer,Mala
Pantalón,Dama,Negro,Casual,Marca C,626.21,40,15,25,Ingeniería,Mujer,Regular
Pantalón,Caballero,Rojo,Formal,Marca A,1506.71,38,15,27,Ciencias de la Salud,HombreMujer,Buena
Falda,Caballero,Azul,Casual,Marca A,301.96,33,14,26,Ciencias de la Salud,Mujer,Mala
Chaqueta,Dama,Blanco,Deportivo,Marca A,1033.37,36,16,21,Deportes,Mujer,Buena
Pantalón,Dama,Verde,Formal,Marca C,1365.94,43,1,25,Artes,Hombre,Regular
Falda,Caballero,Negro,Casual,Marca B,1792.29,41,13,21,Educación,Mujer,Buena
Falda,Caballero,Azul,Deportivo,Marca A,263.45,44,13,27,Deportes,HombreMujer,Buena
Chaqueta,Caballero,Blanco,Deportivo,Marca C,1742.17,36,19,25,Ciencias Sociales y Humanidades,Mujer,Buena
Vestido,Caballero,Rojo,Casual,Marca B,697.8,37,2,23,Educación,Mujer,Buena
Chaqueta,Caballero,Rojo,Formal,Marca B,1955.6,44,1,23,Educación,Mujer,Regular
Pantalón,Dama,Verde,Formal,Marca D,1836.73,39,7,20,Deportes,HombreMujer,Buena
Chaqueta,Caballero,Verde,Deportivo,Marca A,624.85,40,17,25,Ciencias de la Salud,Hombre,Buena
Vestido,Caballero,Rojo,Formal,Marca A,1137.56,32,6,21,Ciencias Sociales y Humanidades,HombreMujer,Buena
Vestido,Dama,Rojo,Formal,Marca B,498.86,35,2,24,Ciencias de la Salud,Mujer,Regular
Falda,Caballero,Negro,Deportivo,Marca B,577.55,35,7,30,Deportes,Hombre,Buena
Chaqueta,Caballero,Rojo,Deportivo,Marca D,975.33,39,2,27,Ciencias Sociales y Humanidades,Hombre,Regular
Camisa,Dama,Negro,Casual,Marca D,1282.19,37,1,29,Ingeniería,Hombre,Buena
Pantalón,Caballero,Rojo,Casual,Marca A,439.01,38,12,20,Ingeniería,Hombre,Regular
Pantalón,Dama,Blanco,Deportivo,Marca B,1142.72,43,5,20,Educación,Mujer,Mala
Vestido,Caballero,Verde,Deportivo,Marca C,283.84,32,0,21,Ingeniería,Hombre,Buena
Pantalón,Dama,Verde,Deportivo,Marca A,364.23,36,8,21,Ciencias Sociales y Humanidades,Hombre,Mala
Chaqueta,Caballero,Azul,Formal,Marca C,777.5,32,19,25,Ciencias Sociales y Humanidades,HombreMujer,Buena
Chaqueta,Dama,Verde,Deportivo,Marca C,488.17,41,11,25,Ingeniería,Mujer,Buena
Falda,Dama,Negro,Casual,Marca B,1413.84,43,13,26,Educación,Mujer,Buena
