ID_Estudiante,Fecha_Registro,Edad,Estado_Civil,Lugar_Residencia,Calificaciones,Asistencia_a_clases,Semestre_Actual,Reprobacion_Asignaturas,Horas_Estudio_Semanales,Nivel_Socioeconomico,Ingreso_Familiar_Mensual,Apoyo_Financiero,Empleo_Parcial_o_Tiempo_Completo,Red_Apoyo_Social,Participacion_Extracurricular,Relaciones_Interpersonales,Problemas_Emocionales,Adaptacion_Entorno_Escolar,Personalidad,Autoeficacia_Academica,Horas_Sueno,Condiciones_Salud,Problemas_Familiares,Dependientes_en_Hogar,Tipo_Institucion,Distancia_Centro_Estudios,Acceso_Servicios_Basicos,Desercion
1302,2024-04-03,23,Casado/a,Foráneo,88.46,73.98,7,5,2,Bajo,3443,No,No,Fuerte,Alta,Buenas,No,Regular,Introvertido,Baja,7,Regular,No,5,Privada,45.99,No,No
1303,2024-01-05,19,Casado/a,Foráneo,75.19,77.25,1,4,2,Alto,10596,No,Sí,Fuerte,Media,Conflictivas,No,Buena,Extrovertido,Baja,8,Regular,Sí,5,Pública,39.67,No,Sí
1304,2024-06-02,22,Unión Libre,Foráneo,70.44,88.85,5,5,3,Bajo,13985,Sí,No,Débil,Media,Regulares,Sí,Regular,Introvertido,Alta,8,Regular,No,0,Privada,27.7,No,Sí
1305,2024-01-27,19,Casado/a,Foráneo,97.22,81.25,4,0,19,Bajo,7106,No,Sí,Débil,Media,Buenas,No,Mala,Introvertido,Alta,6,Mala,Sí,2,Pública,12.05,No,Sí
1306,2024-03-13,25,Unión Libre,Foráneo,56.11,96.34,4,2,11,Bajo,9346,Sí,No,Moderado,Alta,Conflictivas,No,Mala,Introvertido,Baja,5,Mala,Sí,1,Privada,48.81,No,Sí
1307,2024-01-23,21,Casado/a,Local,85.03,64.12,7,1,11,Bajo,13551,Sí,Sí,Débil,Baja,Regulares,No,Mala,Introvertido,Media,6,Buena,No,5,Privada,34.56,Sí,No
1308,2024-03-08,18,Casado/a,Foráneo,77.85,88.19,7,4,16,Medio,13155,Sí,No,Débil,Alta,Conflictivas,No,Regular,Extrovertido,Baja,10,Regular,Sí,0,Pública,39.15,No,No
1309,2024-01-11,19,Casado/a,Foráneo,85.29,89.59,2,3,6,Alto,18807,No,No,Débil,Baja,Buenas,No,Regular,Extrovertido,Media,5,Regular,Sí,2,Privada,13.49,No,Sí
1310,2024-01-13,22,Casado/a,Local,78.25,67.14,8,5,14,Alto,17963,No,No,Débil,Alta,Regulares,Sí,Regular,Introvertido,Media,9,Mala,No,0,Privada,1.08,No,Sí
1311,2024-05-18,23,Casado/a,Foráneo,98.06,54.6,4,5,8,Medio,7183,No,No,Fuerte,Baja,Buenas,No,Buena,Extrovertido,Alta,6,Mala,Sí,5,Pública,23.64,No,Sí
1312,2024-06-28,21,Unión Libre,Local,96.25,59.68,3,0,6,Alto,18853,No,No,Débil,Baja,Regulares,No,Mala,Extrovertido,Baja,5,Mala,Sí,4,Privada,9.9,No,No
1313,2024-06-13,24,Unión Libre,Foráneo,94.31,82.32,8,3,8,Medio,7159,Sí,No,Débil,Media,Buenas,Sí,Buena,Extrovertido,Alta,7,Regular,Sí,5,Privada,19.41,Sí,Sí
1314,2024-03-15,24,Soltero/a,Local,81.97,67.0,7,1,8,Alto,6636,No,Sí,Débil,Alta,Conflictivas,Sí,Buena,Extrovertido,Alta,7,Mala,Sí,4,Privada,18.71,Sí,No
1315,2024-04-07,19,Casado/a,Local,68.98,81.78,2,2,10,Bajo,5564,No,No,Débil,Media,Conflictivas,Sí,Buena,Introvertido,Baja,7,Mala,Sí,2,Pública,10.53,Sí,Sí
1316,2024-02-24,21,Unión Libre,Local,95.78,83.9,6,2,10,Medio,6930,Sí,Sí,Moderado,Baja,Regulares,Sí,Buena,Introvertido,Media,6,Regular,No,4,Privada,41.89,Sí,Sí
1317,2024-03-26,25,Soltero/a,Foráneo,72.81,77.24,5,0,13,Bajo,15663,No,Sí,Moderado,Alta,Conflictivas,No,Buena,Introvertido,Baja,10,Regular,Sí,4,Pública,14.63,Sí,Sí
1318,2024-02-10,18,Casado/a,Foráneo,90.34,77.3,8,1,20,Alto,12937,No,Sí,Débil,Baja,Regulares,Sí,Mala,Introvertido,Baja,8,Regular,Sí,4,Pública,39.42,No,No
1319,2024-01-02,23,Casado/a,Foráneo,54.12,86.28,9,4,17,Medio,9695,Sí,Sí,Moderado,Baja,Conflictivas,Sí,Buena,Introvertido,Media,6,Mala,Sí,0,Pública,42.83,No,Sí
1320,2024-03-30,25,Soltero/a,Foráneo,75.6,85.17,4,5,5,Medio,11642,Sí,No,Moderado,Media,Conflictivas,No,Regular,Extrovertido,Media,9,Mala,Sí,3,Pública,1.56,Sí,No
1321,2024-03-29,21,Unión Libre,Local,84.97,86.27,9,2,13,Medio,13083,Sí,Sí,Fuerte,Media,Conflictivas,No,Mala,Extrovertido,Media,6,Regular,No,0,Privada,7.55,No,No
1322,2024-01-16,25,Soltero/a,Foráneo,85.19,63.94,2,4,4,Medio,3821,No,No,Débil,Baja,Regulares,Sí,Mala,Introvertido,Media,4,Buena,Sí,0,Privada,37.31,Sí,Sí
1323,2024-04-05,22,Unión Libre,Local,72.27,99.7,8,3,5,Bajo,17749,Sí,Sí,Débil,Media,Regulares,Sí,Mala,Extrovertido,Media,4,Regular,No,5,Privada,32.7,Sí,No
1324,2024-03-08,21,Soltero/a,Foráneo,69.73,93.32,1,2,18,Medio,8801,No,No,Débil,Baja,Regulares,Sí,Regular,Introvertido,Baja,7,Regular,No,3,Pública,13.97,No,Sí
1325,2024-03-06,18,Unión Libre,Local,56.38,69.68,5,3,4,Medio,19891,Sí,Sí,Fuerte,Baja,Regulares,Sí,Regular,Extrovertido,Baja,9,Regular,No,1,Privada,24.5,Sí,No
1326,2024-03-03,20,Casado/a,Foráneo,79.1,86.13,9,0,17,Medio,5400,Sí,Sí,Débil,Media,Conflictivas,No,Regular,Introvertido,Alta,6,Buena,No,4,Pública,27.34,Sí,Sí
1327,2024-04-06,25,Unión Libre,Local,89.47,55.86,7,5,1,Bajo,15497,No,No,Débil,Media,Regulares,Sí,Regular,Extrovertido,Baja,8,Mala,Sí,5,Pública,32.75,No,No
1328,2024-03-15,20,Unión Libre,Local,59.33,57.75,7,4,9,Alto,16227,Sí,No,Fuerte,Alta,Buenas,Sí,Regular,Introvertido,Media,10,Mala,No,4,Pública,16.34,Sí,Sí
1329,2024-02-17,24,Casado/a,Foráneo,70.39,74.96,3,3,5,Bajo,3560,Sí,No,Débil,Baja,Conflictivas,No,Regular,Introvertido,Media,5,Regular,Sí,0,Privada,45.71,No,No
1330,2024-01-25,21,Casado/a,Foráneo,91.08,50.79,4,0,8,Alto,8870,Sí,No,Débil,Baja,Buenas,Sí,Mala,Extrovertido,Media,5,Mala,No,3,Pública,20.89,No,Sí
1331,2024-01-27,18,Unión Libre,Foráneo,84.15,55.19,9,2,17,Alto,12672,No,No,Débil,Baja,Buenas,Sí,Regular,Introvertido,Alta,6,Regular,Sí,4,Privada,12.09,No,No
1332,2024-02-15,24,Casado/a,Local,83.42,67.76,9,3,10,Alto,13224,Sí,No,Fuerte,Baja,Regulares,No,Buena,Introvertido,Media,5,Buena,No,0,Privada,1.95,Sí,No
1333,2024-03-10,21,Unión Libre,Foráneo,68.55,73.2,3,4,11,Alto,7186,Sí,Sí,Débil,Alta,Conflictivas,No,Mala,Extrovertido,Media,5,Buena,No,2,Pública,19.91,Sí,No
1334,2024-04-27,25,Unión Libre,Local,80.28,84.61,8,0,12,Bajo,6858,Sí,Sí,Moderado,Alta,Buenas,No,Buena,Extrovertido,Alta,7,Regular,No,4,Pública,31.74,No,Sí
1335,2024-03-16,18,Casado/a,Foráneo,58.24,84.1,10,5,8,Alto,13752,Sí,Sí,Moderado,Media,Buenas,Sí,Mala,Extrovertido,Media,4,Regular,Sí,4,Privada,13.87,Sí,No
1336,2024-01-14,18,Unión Libre,Local,91.04,98.52,1,0,1,Alto,13733,Sí,Sí,Moderado,Media,Conflictivas,Sí,Regular,Extrovertido,Alta,10,Regular,Sí,4,Privada,14.51,No,Sí
1337,2024-04-20,20,Unión Libre,Foráneo,60.67,90.97,2,4,5,Bajo,16148,No,Sí,Débil,Alta,Regulares,Sí,Buena,Introvertido,Baja,6,Mala,Sí,3,Privada,45.96,No,Sí
1338,2024-05-17,18,Soltero/a,Local,73.7,73.35,1,1,13,Medio,12891,No,No,Moderado,Alta,Conflictivas,No,Mala,Extrovertido,Media,4,Mala,No,3,Privada,45.44,No,No
1339,2024-01-20,18,Soltero/a,Foráneo,89.41,90.9,9,1,14,Medio,14389,No,Sí,Moderado,Alta,Conflictivas,No,Regular,Introvertido,Media,9,Mala,No,1,Pública,12.42,Sí,No
1340,2024-05-24,23,Casado/a,Foráneo,61.37,62.05,6,2,11,Medio,15836,No,Sí,Débil,Alta,Conflictivas,Sí,Mala,Extrovertido,Media,9,Buena,No,4,Privada,25.15,No,No
1341,2024-03-04,25,Unión Libre,Foráneo,99.61,78.86,5,5,17,Alto,9634,Sí,Sí,Moderado,Media,Buenas,Sí,Regular,Introvertido,Baja,9,Regular,No,0,Privada,31.75,No,Sí
1342,2024-06-23,20,Unión Libre,Foráneo,73.41,56.54,2,4,6,Bajo,19615,Sí,No,Débil,Baja,Regulares,Sí,Mala,Introvertido,Baja,6,Mala,Sí,1,Pública,17.77,No,No
1343,2024-01-27,25,Casado/a,Local,51.81,88.72,10,5,16,Medio,18549,Sí,Sí,Débil,Alta,Regulares,Sí,Buena,Introvertido,Alta,6,Regular,No,1,Pública,9.81,No,No
1344,2024-02-21,20,Unión Libre,Foráneo,61.76,57.83,2,3,13,Bajo,9978,No,No,Fuerte,Alta,Regulares,Sí,Regular,Extrovertido,Baja,5,Regular,No,5,Pública,35.07,No,Sí
1345,2024-05-07,20,Unión Libre,Local,63.44,71.48,3,4,12,Alto,12698,Sí,No,Moderado,Media,Regulares,No,Buena,Extrovertido,Alta,6,Regular,No,0,Privada,30.23,Sí,Sí
1346,2024-05-08,22,Soltero/a,Local,69.58,88.24,8,0,6,Bajo,18391,No,No,Fuerte,Baja,Conflictivas,Sí,Regular,Extrovertido,Alta,8,Regular,No,5,Privada,39.22,Sí,No
1347,2024-05-15,18,Soltero/a,Local,52.26,54.74,1,5,8,Bajo,6698,Sí,Sí,Fuerte,Baja,Buenas,No,Buena,Introvertido,Alta,4,Regular,No,0,Pública,8.93,Sí,No
1348,2024-06-15,24,Soltero/a,Foráneo,59.61,65.69,3,4,18,Bajo,19751,Sí,No,Moderado,Alta,Buenas,No,Buena,Extrovertido,Media,10,Buena,Sí,5,Pública,10.3,Sí,Sí
1349,2024-02-06,25,Unión Libre,Local,68.89,70.93,8,3,15,Medio,3196,No,Sí,Moderado,Media,Regulares,No,Buena,Introvertido,Baja,5,Mala,No,3,Privada,47.97,Sí,No
1350,2024-02-05,22,Casado/a,Foráneo,94.13,57.67,6,4,13,Alto,4276,No,No,Débil,Media,Buenas,Sí,Buena,Introvertido,Baja,8,Buena,No,1,Pública,11.3,No,Sí
1351,2024-05-09,21,Casado/a,Local,70.64,75.32,3,0,11,Alto,12962,Sí,No,Fuerte,Media,Conflictivas,Sí,Buena,Introvertido,Media,8,Buena,No,0,Privada,49.13,Sí,Sí
1352,2024-03-01,20,Soltero/a,Local,78.47,99.38,9,2,5,Medio,18716,Sí,Sí,Débil,Baja,Buenas,No,Buena,Extrovertido,Alta,9,Regular,No,4,Privada,38.7,Sí,No
1353,2024-04-18,19,Soltero/a,Local,69.42,79.53,4,5,1,Bajo,10926,No,Sí,Débil,Media,Buenas,Sí,Mala,Extrovertido,Baja,9,Regular,No,5,Privada,5.36,Sí,Sí
1354,2024-01-07,24,Soltero/a,Local,68.7,52.91,9,2,19,Alto,6148,Sí,Sí,Fuerte,Alta,Regulares,No,Mala,Introvertido,Alta,5,Regular,No,1,Privada,26.24,Sí,Sí
1355,2024-05-13,18,Casado/a,Local,73.76,94.69,3,3,10,Medio,5425,Sí,No,Débil,Media,Buenas,No,Regular,Introvertido,Media,10,Buena,No,0,Pública,7.1,Sí,No
1356,2024-01-28,18,Casado/a,Local,83.42,88.57,1,3,13,Medio,12275,Sí,No,Fuerte,Media,Buenas,No,Mala,Introvertido,Media,5,Mala,No,2,Privada,48.91,No,Sí
1357,2024-05-30,19,Casado/a,Local,96.19,96.86,9,5,12,Alto,13639,Sí,No,Débil,Alta,Regulares,Sí,Buena,Extrovertido,Media,10,Mala,No,2,Privada,49.59,No,No
1358,2024-03-21,23,Casado/a,Foráneo,83.06,62.88,3,2,6,Medio,9941,No,No,Moderado,Media,Regulares,No,Mala,Introvertido,Alta,8,Buena,No,4,Privada,22.56,Sí,Sí
1359,2024-02-03,23,Unión Libre,Foráneo,91.59,79.43,1,4,12,Alto,14061,No,Sí,Fuerte,Baja,Regulares,Sí,Mala,Extrovertido,Alta,9,Regular,Sí,1,Privada,6.02,No,Sí
1360,2024-01-27,20,Casado/a,Foráneo,75.87,55.18,4,0,2,Medio,19440,Sí,No,Débil,Media,Conflictivas,No,Regular,Introvertido,Baja,6,Buena,No,1,Privada,45.58,No,Sí
1361,2024-06-05,25,Casado/a,Foráneo,95.83,59.3,10,2,4,Bajo,6420,No,Sí,Moderado,Media,Regulares,Sí,Mala,Introvertido,Baja,4,Mala,Sí,0,Privada,6.6,Sí,No
1362,2024-02-29,21,Soltero/a,Foráneo,51.98,67.56,2,4,14,Medio,19485,No,Sí,Fuerte,Media,Conflictivas,No,Regular,Introvertido,Alta,9,Mala,Sí,5,Privada,48.25,Sí,No
1363,2024-02-17,21,Soltero/a,Local,83.48,62.77,1,0,16,Bajo,13509,Sí,Sí,Fuerte,Alta,Buenas,Sí,Mala,Extrovertido,Media,9,Mala,Sí,2,Pública,49.58,Sí,No
1364,2024-02-23,19,Soltero/a,Local,98.54,90.84,7,0,19,Alto,6096,Sí,Sí,Débil,Alta,Regulares,Sí,Buena,Introvertido,Baja,8,Mala,Sí,2,Pública,16.37,Sí,No
1365,2024-04-03,25,Casado/a,Foráneo,79.91,51.53,10,5,9,Alto,13874,Sí,No,Moderado,Alta,Conflictivas,Sí,Mala,Extrovertido,Media,7,Regular,No,5,Privada,16.96,Sí,No
1366,2024-04-24,22,Casado/a,Foráneo,62.5,80.6,8,1,16,Bajo,13488,Sí,Sí,Fuerte,Baja,Regulares,No,Regular,Introvertido,Alta,5,Regular,Sí,5,Pública,13.49,No,No
1367,2024-01-12,25,Unión Libre,Local,83.58,81.44,4,2,10,Bajo,18000,Sí,No,Débil,Baja,Regulares,No,Mala,Introvertido,Media,10,Regular,No,5,Pública,9.57,Sí,Sí
1368,2024-04-18,19,Casado/a,Local,53.21,74.64,4,4,14,Bajo,12153,Sí,No,Débil,Alta,Regulares,No,Mala,Extrovertido,Baja,9,Mala,No,0,Privada,10.06,Sí,Sí
1369,2024-06-18,25,Soltero/a,Local,54.32,59.08,7,1,9,Bajo,14306,No,Sí,Débil,Baja,Regulares,No,Regular,Extrovertido,Alta,4,Mala,Sí,0,Privada,16.83,Sí,Sí
1370,2024-04-30,19,Soltero/a,Foráneo,52.66,52.89,3,1,2,Alto,13307,Sí,No,Moderado,Media,Regulares,Sí,Mala,Extrovertido,Baja,4,Regular,Sí,1,Pública,9.58,No,No
1371,2024-05-14,24,Casado/a,Foráneo,89.44,66.78,8,5,15,Bajo,7534,No,No,Débil,Alta,Conflictivas,No,Regular,Extrovertido,Media,6,Regular,Sí,2,Privada,4.43,Sí,Sí
1372,2024-04-17,20,Casado/a,Local,57.43,79.93,9,3,12,Alto,10990,No,No,Débil,Media,Conflictivas,Sí,Regular,Extrovertido,Baja,5,Mala,Sí,5,Pública,8.67,No,Sí
1373,2024-04-28,22,Unión Libre,Local,99.04,54.65,1,1,11,Medio,16402,Sí,No,Fuerte,Baja,Conflictivas,No,Mala,Extrovertido,Baja,5,Buena,Sí,4,Pública,28.46,Sí,Sí
1374,2024-03-27,23,Soltero/a,Foráneo,91.66,99.73,8,0,8,Bajo,18568,Sí,Sí,Fuerte,Media,Buenas,No,Buena,Extrovertido,Alta,7,Mala,No,1,Privada,30.16,No,No
1375,2024-02-27,18,Unión Libre,Local,89.46,55.48,7,1,17,Medio,12567,Sí,Sí,Fuerte,Baja,Buenas,Sí,Buena,Extrovertido,Baja,7,Regular,No,5,Privada,31.03,No,Sí
1376,2024-06-03,22,Unión Libre,Foráneo,82.29,88.92,6,2,9,Alto,11635,No,No,Débil,Alta,Buenas,Sí,Mala,Extrovertido,Media,10,Regular,No,4,Privada,36.76,Sí,Sí
1377,2024-04-30,18,Soltero/a,Foráneo,75.94,82.3,10,5,6,Alto,12149,No,Sí,Fuerte,Baja,Conflictivas,No,Buena,Introvertido,Baja,4,Mala,Sí,3,Privada,7.2,No,No
1378,2024-02-22,25,Casado/a,Foráneo,53.21,95.58,4,1,7,Medio,12560,No,No,Débil,Media,Buenas,No,Buena,Introvertido,Baja,4,Mala,Sí,0,Pública,3.39,No,Sí
1379,2024-06-02,21,Unión Libre,Foráneo,82.24,51.94,1,3,15,Bajo,3006,No,Sí,Fuerte,Alta,Regulares,No,Regular,Extrovertido,Media,8,Mala,No,1,Privada,18.02,Sí,No
1380,2024-01-30,20,Casado/a,Foráneo,75.92,62.04,5,3,1,Medio,9416,No,No,Débil,Baja,Conflictivas,No,Buena,Introvertido,Baja,4,Regular,Sí,2,Privada,1.96,No,No
1381,2024-06-15,25,Casado/a,Foráneo,91.66,73.85,9,3,1,Medio,3371,Sí,No,Débil,Alta,Regulares,No,Regular,Introvertido,Media,9,Mala,No,2,Pública,5.38,No,No
1382,2024-05-06,24,Casado/a,Local,63.15,75.79,7,2,9,Alto,3583,No,Sí,Moderado,Alta,Regulares,Sí,Buena,Extrovertido,Media,4,Regular,Sí,1,Privada,5.08,Sí,No
1383,2024-04-30,19,Soltero/a,Local,80.79,51.09,1,0,3,Bajo,15130,Sí,Sí,Fuerte,Media,Buenas,No,Buena,Extrovertido,Alta,5,Regular,No,5,Pública,41.79,Sí,No
1384,2024-02-26,24,Soltero/a,Foráneo,61.66,64.06,4,4,18,Medio,13108,No,No,Débil,Media,Buenas,Sí,Buena,Extrovertido,Baja,10,Buena,No,0,Privada,25.6,Sí,No
1385,2024-04-02,25,Unión Libre,Local,63.27,72.16,2,2,2,Bajo,15065,No,No,Fuerte,Media,Conflictivas,Sí,Mala,Introvertido,Alta,6,Buena,No,4,Pública,30.64,Sí,Sí
1386,2024-05-29,23,Unión Libre,Local,71.84,75.43,7,4,6,Medio,9830,Sí,Sí,Débil,Alta,Conflictivas,Sí,Buena,Extrovertido,Baja,7,Buena,Sí,0,Privada,40.27,Sí,No
1387,2024-04-16,18,Soltero/a,Foráneo,52.44,78.86,5,0,11,Medio,8213,No,No,Moderado,Baja,Buenas,No,Regular,Introvertido,Media,6,Regular,No,1,Pública,41.04,Sí,No
1388,2024-06-14,21,Soltero/a,Foráneo,77.06,81.67,2,0,4,Alto,18835,No,No,Fuerte,Media,Buenas,No,Buena,Extrovertido,Media,5,Mala,No,1,Pública,3.15,Sí,Sí
1389,2024-05-06,24,Soltero/a,Foráneo,98.58,65.37,6,1,11,Alto,19344,No,Sí,Fuerte,Alta,Conflictivas,Sí,Buena,Introvertido,Media,8,Mala,Sí,0,Pública,16.79,No,Sí
1390,2024-03-10,20,Casado/a,Foráneo,94.33,90.39,4,3,12,Medio,6503,Sí,Sí,Débil,Alta,Regulares,No,Mala,Introvertido,Alta,10,Regular,No,4,Privada,19.62,Sí,Sí
1391,2024-05-12,18,Unión Libre,Foráneo,97.89,71.28,1,2,7,Medio,18355,No,Sí,Moderado,Media,Regulares,No,Mala,Introvertido,Baja,6,Regular,No,3,Privada,6.27,Sí,Sí
1392,2024-06-04,23,Unión Libre,Foráneo,80.26,71.65,10,5,15,Medio,9490,Sí,No,Fuerte,Media,Conflictivas,Sí,Mala,Extrovertido,Alta,10,Buena,No,4,Pública,18.64,Sí,No
1393,2024-06-27,23,Unión Libre,Foráneo,80.59,67.15,6,2,16,Alto,7991,No,Sí,Débil,Baja,Conflictivas,Sí,Mala,Extrovertido,Media,8,Mala,Sí,4,Privada,41.73,No,Sí
1394,2024-01-09,22,Casado/a,Local,55.21,52.09,9,5,8,Alto,7752,Sí,Sí,Débil,Baja,Buenas,Sí,Regular,Introvertido,Alta,4,Mala,No,2,Pública,43.58,Sí,No
1395,2024-03-27,24,Soltero/a,Local,62.82,68.29,4,1,4,Medio,5523,Sí,No,Débil,Media,Regulares,No,Mala,Introvertido,Alta,6,Mala,Sí,2,Privada,6.51,No,Sí
1396,2024-05-02,22,Unión Libre,Local,65.46,53.85,5,4,10,Alto,8194,No,No,Débil,Media,Buenas,Sí,Mala,Extrovertido,Media,8,Mala,Sí,5,Pública,17.55,No,Sí
1397,2024-06-10,20,Unión Libre,Foráneo,59.02,77.43,1,3,2,Alto,12443,No,No,Fuerte,Alta,Conflictivas,Sí,Regular,Introvertido,Alta,8,Regular,Sí,1,Privada,38.58,Sí,No
1398,2024-02-12,25,Casado/a,Foráneo,72.01,77.36,8,3,20,Bajo,17761,No,No,Fuerte,Baja,Buenas,No,Regular,Extrovertido,Media,7,Buena,Sí,5,Pública,17.25,Sí,No
1399,2024-06-03,23,Casado/a,Local,92.39,59.45,7,0,6,Alto,4976,No,No,Moderado,Baja,Regulares,Sí,Mala,Extrovertido,Alta,6,Regular,No,2,Pública,25.68,No,No
1400,2024-03-18,24,Soltero/a,Foráneo,78.46,58.54,9,4,4,Medio,6409,No,Sí,Débil,Alta,Buenas,No,Buena,Introvertido,Media,9,Mala,No,1,Privada,37.53,Sí,No
1401,2024-05-27,23,Casado/a,Local,64.09,95.6,4,1,5,Medio,8578,Sí,Sí,Débil,Baja,Conflictivas,Sí,Mala,Extrovertido,Media,8,Mala,No,4,Privada,35.16,No,Sí
1402,2024-06-24,20,Casado/a,Local,70.42,61.05,2,3,15,Medio,17903,Sí,No,Débil,Media,Conflictivas,No,Buena,Extrovertido,Alta,10,Buena,No,3,Privada,49.05,No,No
1403,2024-03-01,23,Unión Libre,Foráneo,65.19,66.76,5,4,10,Alto,10454,Sí,No,Moderado,Alta,Regulares,Sí,Buena,Extrovertido,Alta,8,Regular,Sí,4,Privada,13.27,Sí,Sí
1404,2024-01-23,18,Soltero/a,Local,89.82,83.49,4,2,3,Bajo,13558,Sí,Sí,Débil,Alta,Conflictivas,No,Regular,Extrovertido,Media,9,Mala,Sí,0,Pública,17.15,Sí,Sí
1405,2024-02-06,25,Unión Libre,Local,54.88,50.64,2,1,15,Bajo,7078,No,No,Débil,Baja,Regulares,Sí,Mala,Introvertido,Alta,4,Buena,No,1,Pública,17.39,Sí,No
1406,2024-04-09,21,Casado/a,Local,60.38,88.31,4,1,11,Bajo,19742,No,Sí,Moderado,Baja,Conflictivas,Sí,Regular,Introvertido,Media,6,Mala,No,2,Privada,45.5,Sí,Sí
1407,2024-01-05,18,Unión Libre,Local,86.85,53.68,6,0,3,Medio,18177,No,No,Moderado,Media,Regulares,No,Regular,Introvertido,Alta,7,Mala,No,4,Privada,49.54,Sí,Sí
1408,2024-06-03,25,Unión Libre,Local,71.52,97.58,6,3,3,Alto,16329,Sí,No,Fuerte,Baja,Buenas,Sí,Regular,Extrovertido,Media,4,Mala,No,1,Pública,18.98,No,Sí
1409,2024-01-08,22,Casado/a,Foráneo,70.09,84.18,2,0,5,Alto,14128,Sí,No,Débil,Baja,Conflictivas,No,Regular,Extrovertido,Baja,8,Mala,No,5,Pública,23.45,Sí,Sí
1410,2024-03-27,21,Unión Libre,Local,79.9,77.2,1,3,8,Alto,5804,Sí,Sí,Fuerte,Alta,Buenas,No,Regular,Introvertido,Baja,7,Buena,Sí,0,Privada,48.17,Sí,Sí
1411,2024-03-01,23,Soltero/a,Local,89.21,63.64,1,5,1,Alto,14772,No,No,Moderado,Alta,Regulares,No,Mala,Introvertido,Baja,10,Buena,Sí,4,Pública,5.24,Sí,Sí
1412,2024-04-05,21,Unión Libre,Local,50.77,56.97,5,1,17,Bajo,12722,Sí,No,Débil,Alta,Regulares,No,Buena,Introvertido,Alta,4,Mala,No,5,Pública,42.85,No,No
1413,2024-01-04,23,Unión Libre,Foráneo,95.83,59.66,8,4,15,Medio,16609,No,Sí,Moderado,Alta,Regulares,No,Regular,Introvertido,Media,8,Buena,No,4,Pública,17.02,No,Sí
1414,2024-02-26,19,Soltero/a,Foráneo,90.2,58.44,3,0,18,Medio,3160,No,Sí,Moderado,Media,Buenas,Sí,Buena,Extrovertido,Media,7,Buena,Sí,4,Pública,34.88,No,Sí
1415,2024-02-02,21,Soltero/a,Foráneo,91.44,79.39,9,5,17,Medio,14948,No,No,Fuerte,Alta,Conflictivas,No,Mala,Introvertido,Media,9,Buena,Sí,1,Pública,24.13,Sí,No
1416,2024-06-03,23,Casado/a,Foráneo,61.81,59.49,5,1,13,Alto,8171,No,No,Débil,Baja,Buenas,Sí,Mala,Extrovertido,Baja,5,Regular,No,1,Pública,6.81,No,Sí
1417,2024-03-03,21,Soltero/a,Local,89.62,93.52,8,4,17,Bajo,11729,Sí,No,Moderado,Baja,Buenas,Sí,Buena,Extrovertido,Media,5,Regular,No,2,Privada,17.19,No,Sí
1418,2024-04-29,22,Casado/a,Local,98.07,77.36,4,5,14,Bajo,15227,No,No,Débil,Alta,Buenas,Sí,Mala,Extrovertido,Alta,9,Buena,Sí,2,Pública,36.35,No,Sí
1419,2024-04-14,24,Unión Libre,Local,99.36,86.5,8,1,8,Alto,18086,Sí,Sí,Fuerte,Alta,Regulares,No,Buena,Introvertido,Alta,9,Regular,No,5,Pública,8.64,Sí,Sí
1420,2024-02-07,22,Unión Libre,Foráneo,59.52,87.3,5,0,11,Alto,6627,Sí,No,Moderado,Baja,Buenas,No,Buena,Extrovertido,Baja,6,Mala,No,4,Privada,37.13,Sí,Sí
1421,2024-06-23,25,Casado/a,Local,70.74,65.3,5,5,16,Bajo,11805,No,No,Débil,Media,Conflictivas,No,Mala,Extrovertido,Media,8,Regular,No,4,Privada,21.85,Sí,No
1422,2024-04-19,19,Soltero/a,Local,70.16,99.96,10,2,7,Alto,11629,Sí,No,Débil,Baja,Conflictivas,No,Mala,Extrovertido,Baja,7,Regular,Sí,3,Pública,48.19,Sí,No
1423,2024-01-21,21,Casado/a,Local,51.31,50.31,8,0,5,Alto,10450,No,Sí,Moderado,Media,Regulares,No,Mala,Introvertido,Media,6,Mala,Sí,0,Pública,38.28,Sí,No
1424,2024-02-20,25,Soltero/a,Foráneo,78.17,77.68,5,1,4,Alto,12204,No,Sí,Fuerte,Alta,Conflictivas,No,Regular,Extrovertido,Alta,5,Regular,No,5,Pública,10.28,No,Sí
1425,2024-05-20,20,Unión Libre,Local,75.29,68.24,4,5,4,Bajo,19237,No,Sí,Moderado,Baja,Regulares,Sí,Buena,Extrovertido,Media,6,Buena,No,5,Pública,11.66,Sí,No
1426,2024-05-07,23,Soltero/a,Foráneo,79.3,72.95,4,4,13,Alto,16151,No,Sí,Fuerte,Alta,Regulares,No,Mala,Extrovertido,Alta,9,Mala,No,0,Privada,25.63,Sí,No
1427,2024-06-25,21,Unión Libre,Local,53.24,92.87,10,1,1,Bajo,3288,Sí,No,Moderado,Baja,Conflictivas,No,Regular,Extrovertido,Baja,10,Buena,No,3,Pública,36.56,Sí,Sí
1428,2024-04-15,25,Unión Libre,Foráneo,74.9,99.63,2,1,15,Bajo,9805,No,Sí,Débil,Alta,Regulares,Sí,Mala,Extrovertido,Baja,6,Regular,Sí,4,Privada,13.88,Sí,No
1429,2024-05-01,20,Soltero/a,Local,98.41,65.52,3,1,3,Bajo,10623,No,No,Débil,Media,Regulares,Sí,Mala,Extrovertido,Alta,4,Buena,Sí,3,Pública,47.04,No,No
